id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_069	21	24	31.276316161	1.303179840	1	4	24	24	1.224754576	-1.224754576	480	478	0.995833333	24	17	0.708333333	478	184	0.384937238	478	6.370841476	5.975285917	4458	3058	0.685957829
case_070	27	24	34.892125918	1.453838580	1	2	24	24	1.397227820	-1.382474660	480	480	1.000000000	24	15	0.625000000	480	123	0.256250000	480	6.189732800	5.135971787	4494	2861	0.636626613
case_071	26	24	63.604699306	2.650195804	0	0	24	24	2.563308591	-2.563308591	480	479	0.997916667	24	9	0.375000000	479	94	0.196242171	479	6.740515994	5.944655401	4480	2886	0.644196429
case_072	19	24	50.364721846	2.098530077	0	0	24	24	2.101783396	-2.041093879	480	480	1.000000000	24	12	0.500000000	480	120	0.250000000	480	6.852882410	6.234833724	4482	3048	0.680053548
case_073	17	24	42.658499544	1.777437481	0	0	24	24	1.761023637	-1.719975470	480	479	0.997916667	24	15	0.625000000	479	120	0.250521921	479	7.420365705	6.412407579	4470	2934	0.656375839
case_074	17	24	43.456240970	1.810676707	0	0	24	24	1.741482383	-1.741482383	480	479	0.997916667	24	13	0.541666667	479	135	0.281837161	479	7.514646462	6.898213464	4467	2763	0.618535930
case_075	16	24	57.407889438	2.391995393	0	0	24	24	2.334390500	-2.332986768	480	478	0.995833333	24	10	0.416666667	478	124	0.259414226	478	6.418720041	5.788554532	4457	2921	0.655373570
case_076	23	24	71.990072340	2.999586348	0	0	24	24	2.921573803	-2.921573803	480	478	0.995833333	24	10	0.416666667	478	123	0.257322176	478	5.926979422	4.788774631	4475	2801	0.625921788
case_077	26	24	56.107469020	2.337811209	0	0	24	24	2.346443989	-2.256196400	480	480	1.000000000	24	12	0.500000000	480	147	0.306250000	480	6.370060038	5.533811868	4489	3014	0.671419024
case_078	29	24	59.679027909	2.486626163	0	0	24	24	2.385753654	-2.385753654	480	479	0.997916667	24	12	0.500000000	479	125	0.260960334	479	5.283023854	4.176241628	4479	2813	0.628041974
case_079	21	24	53.840906957	2.243371123	0	0	24	24	2.182858821	-2.182858821	480	478	0.995833333	24	14	0.583333333	478	140	0.292887029	478	5.704367860	5.199126204	4458	2981	0.668685509
case_080	15	24	43.079580835	1.794982535	1	5	24	24	1.644500796	-1.615193190	480	480	1.000000000	24	12	0.500000000	480	211	0.439583333	480	4.751549094	4.064460323	4493	2998	0.667260183
case_081	15	24	44.550229864	1.856259578	1	1	24	24	1.632167082	-1.632167082	480	480	1.000000000	24	9	0.375000000	480	205	0.427083333	480	4.411456163	3.151743051	4495	3015	0.670745273
case_082	18	24	59.507781795	2.479490908	0	0	24	24	2.384828149	-2.368522502	480	479	0.997916667	24	13	0.541666667	479	162	0.338204593	479	6.087219054	5.441572948	4491	3147	0.700734803
case_083	21	24	43.548073848	1.814503077	1	1	24	24	1.717003438	-1.717003438	480	480	1.000000000	24	12	0.500000000	480	186	0.387500000	480	6.013192504	5.369958697	4470	3015	0.674496644
case_084	25	11	6.315704536	0.574154958	1	1	11	11	0.511644851	-0.494475901	220	220	1.000000000	11	9	0.818181818	220	85	0.386363636	220	5.310362116	4.828631438	2051	1419	0.691857630
case_085	20	24	16.685013649	0.695208902	1	14	24	24	0.563670907	-0.563670907	480	480	1.000000000	24	20	0.833333333	480	214	0.445833333	480	5.542696409	4.945380518	4498	3232	0.718541574
case_086	18	24	58.437173810	2.434882242	0	0	24	24	2.310666436	-2.310666436	480	480	1.000000000	24	13	0.541666667	480	178	0.370833333	480	5.174859357	4.148838255	4500	3103	0.689555556
case_087	14	24	49.006003021	2.041916793	1	5	24	24	2.036569412	-2.036569412	480	480	1.000000000	24	13	0.541666667	480	163	0.339583333	480	8.868206939	8.628282877	4493	2877	0.640329401
case_088	15	24	103.552461806	4.314685909	0	0	23	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_089	15	24	27.364838961	1.140201623	0	0	24	24	1.118827697	-1.082166383	480	479	0.997916667	24	15	0.625000000	479	187	0.390396660	479	7.724458924	7.324056185	4470	2962	0.662639821
case_090	19	24	22.801061976	0.950044249	0	0	24	24	0.905365719	-0.905365719	480	480	1.000000000	24	15	0.625000000	480	194	0.404166667	480	6.725857611	6.343010425	4488	3093	0.689171123
case_091	16	24	35.037446778	1.459893616	1	1	24	24	1.399954119	-1.384453547	480	479	0.997916667	24	15	0.625000000	479	164	0.342379958	479	6.126593314	5.193123031	4485	3071	0.684726867
case_092	17	24	29.172320976	1.215513374	0	0	24	24	1.173456836	-1.173456836	480	480	1.000000000	24	15	0.625000000	480	179	0.372916667	480	8.021452710	7.805400803	4483	3001	0.669417801
case_093	20	24	29.165446619	1.215226942	0	0	24	24	1.156292707	-1.106113853	480	477	0.993750000	24	15	0.625000000	477	195	0.408805031	477	5.777756970	5.021654275	4438	3033	0.683415953
case_094	18	2	1.713756620	0.856878310	1	2	2	2	0.885203345	-0.776751540	40	39	0.975000000	2	2	1.000000000	39	17	0.435897436	39	7.893767379	7.728756092	357	205	0.574229692
case_095	19	11	6.888133559	0.626193960	1	3	11	11	0.598025418	-0.597705399	220	215	0.977272727	11	9	0.818181818	215	105	0.488372093	215	8.407378137	8.306383042	1953	1442	0.738351254
case_096	17	6	23.633796764	3.938966127	0	0	6	6	3.903756527	-3.903756527	120	116	0.966666667	6	2	0.333333333	116	33	0.284482759	116	9.196647263	8.775983053	1056	607	0.574810606
case_097	23	9	7.967739825	0.885304425	0	0	9	9	0.883828898	-0.883828898	180	179	0.994444444	9	7	0.777777778	179	63	0.351955307	179	8.950363031	8.843697347	1667	1093	0.655668866
case_098	22	9	14.272326835	1.585814093	1	6	9	9	1.585083695	-1.585083695	180	179	0.994444444	9	7	0.777777778	179	57	0.318435754	179	9.586726942	9.378727518	1667	1031	0.618476305
case_099	24	15	19.564544769	1.304302985	0	0	15	15	1.298601828	-1.298601828	300	297	0.990000000	15	9	0.600000000	297	97	0.326599327	297	9.042497348	8.860901803	2755	1836	0.666424682
